"","Name","Gender","Total"
"974","Emmalee","F",532
"975","Moriah","F",558
"976","Ophelia","F",805
"977","Charlize","F",499
"978","Lyra","F",567
"979","Mariyah","F",569
"980","Sharon","F",570
"981","Abril","F",590
"982","Avalyn","F",533
"983","Stevie","F",616
"984","Taya","F",504
"985","Giavanna","F",495
"986","Ireland","F",495
"987","Mollie","F",533
"988","Noor","F",578
"989","Sariyah","F",569
"990","Zaylee","F",621
"991","Frankie","F",553
"992","Rhea","F",556
"993","Denise","F",475
"994","Kaitlynn","F",439
"995","Aubrianna","F",513
"996","Janiya","F",505
"997","Jocelynn","F",486
"998","Libby","F",519
"999","Princess","F",637
"1000","Sidney","F",526
"1001","Alianna","F",530
"1002","Janae","F",509
"1003","Mattie","F",522
"1004","Aadhya","F",549
"1005","Ari","F",539
"1006","Aubri","F",539
"1007","Danika","F",489
"1008","Jana","F",564
"1009","Mavis","F",623
"1010","Tinsley","F",544
"1011","Aliah","F",474
"1012","Kaidence","F",457
"1013","Mercy","F",620
"1014","Miley","F",510
"1015","Cambria","F",491
"1016","Devyn","F",485
"1017","Diamond","F",488
"1018","India","F",524
"1019","Antonella","F",631
"1020","Antonia","F",525
"1021","Mckayla","F",478
"1022","Raylee","F",514
"1023","Regan","F",474
"1024","Abrielle","F",520
"1025","Akira","F",520
"1026","Rayne","F",549
"1027","Robin","F",497
"1028","Ayva","F",480
"1029","Dani","F",498
"1030","Poppy","F",638
"1031","Abbigail","F",481
"1032","Alyvia","F",553
"1033","Dalia","F",500
"1034","Alisa","F",513
"1035","Diya","F",499
"1036","Anais","F",480
"1037","Anniston","F",528
"1038","Ayana","F",529
"1039","Addalyn","F",511
"1040","Amora","F",513
"1041","Ellery","F",448
"1042","Carlie","F",500
"1043","Charleston","F",408
"1044","Ellianna","F",554
"1045","Mylah","F",476
"1046","Robyn","F",496
"1047","Samiyah","F",506
"1048","Amayah","F",521
"1049","Temperance","F",482
"1050","Alaysia","F",474
"1051","Belle","F",540
"1052","Chandler","F",513
"1053","Cindy","F",505
"1054","Harleigh","F",534
"1055","Kaleigh","F",429
"1056","Kaylani","F",623
"1057","Maddie","F",492
"1058","Shannon","F",442
"1059","Taryn","F",466
"1060","Elina","F",494
"1061","Araceli","F",454
"1062","Audriana","F",502
"1063","Evalynn","F",476
"1064","Carina","F",490
"1065","Londynn","F",455
"1066","Macey","F",457
"1067","Tamia","F",476
"1068","Emmie","F",548
"1069","Promise","F",457
"1070","Sonia","F",504
"1071","August","F",466
"1072","Ayanna","F",486
"1073","Bayleigh","F",450
"1074","Austyn","F",470
"1075","Joelle","F",604
"1076","Ramona","F",528
"1077","Treasure","F",505
"1078","Berkley","F",469
"1079","Etta","F",498
"1080","Louise","F",551
"1081","Vada","F",548
"1082","Paisleigh","F",447
"1083","Patience","F",444
"1084","Vivien","F",460
"1085","Aanya","F",454
"1086","Everlee","F",497
"1087","Meghan","F",441
"1088","Mercedes","F",490
"1089","Pyper","F",453
"1090","Renee","F",497
"1091","Spencer","F",482
"1092","Kasey","F",442
"1093","Sailor","F",479
"1094","Ailyn","F",419
"1095","Carleigh","F",439
"1096","Gwyneth","F",430
"1097","Karleigh","F",470
"1098","Neveah","F",453
"1099","Scout","F",465
"1100","Carley","F",402
"1101","Magdalena","F",492
"1102","Marian","F",436
